,Grand Prix,Total Laps
0,Argentina,1486.0
1,Australia,2260.0
2,Austria,2322.0
3,Azerbaijan,255.0
4,Bahrain,1104.0
5,Belgium,3005.0
6,Brazil,3075.0
7,Canada,3658.0
8,China,894.0
9,Europe,1461.0
10,France,3962.0
11,Germany,2647.0
12,Hungary,2704.0
13,India,180.0
14,Italy,6073.0
15,Japan,2069.0
16,Luxembourg,134.0
17,Malaysia,1038.0
18,Mexico,1418.0
19,Monaco,5525.0
20,Morocco,53.0
21,Netherlands,2505.0
22,Portugal,1203.0
23,Qatar,57.0
24,Russia,423.0
25,Saudi Arabia,100.0
26,Singapore,726.0
27,South Africa,1803.0
28,South Korea,220.0
29,Spain,3611.0
30,Sweden,454.0
31,Switzerland,357.0
32,Turkey,522.0
33,United Arab Emirates,718.0
34,United Kingdom,4927.0
35,United States of America,6624.0
